Date,Adj Close,Close,High,Low,Open,Volume
27/01/2023,648.0631714,665.9500122,692.5,660,691,1736675
30/01/2023,638.8668823,656.5,684,639.2000122,649,3024474
31/01/2023,635.7528687,653.2999878,662.9000244,650.7999878,660,1811224
01/02/2023,582.3760986,598.4500122,665.4000244,582.3499756,660,6326960
02/02/2023,583.008667,599.0999756,606,583.1500244,583.1500244,3377223
03/02/2023,582.960022,599.0499878,604.5,586,602.0999756,2276729
06/02/2023,583.7871704,599.9000244,607.4000244,597,602,1567204
07/02/2023,586.85,603.0499878,618.2000122,601.25,602,2084510
08/02/2023,593.86,610.25,612.5999756,604.5,605,1374494
09/02/2023,596.6812744,613.1500244,618,609.5999756,613.3499756,1434333
10/02/2023,603.4,620.0499878,640,617.0499878,630,3943115
13/02/2023,590.4,606.7000122,623.6500244,605.3499756,621,1315642
14/02/2023,581.9868774,598.0499878,609.7000122,596.2000122,605.0499878,1528074
15/02/2023,584.857605,601,603.9500122,595.0999756,595.0999756,933878
16/02/2023,586.6092529,602.7999878,606.25,602,604.0499878,703040
17/02/2023,586.4633179,602.6500244,605.75,600.2999878,603,642400
20/02/2023,582.42,598.5,605,596.4000244,605,885378
21/02/2023,581.1110229,597.1500244,601.2999878,595.9000244,600,648784
22/02/2023,579.9432373,595.9500122,598.7000122,593.4500122,597,761922
23/02/2023,575.0288696,590.9000244,598.9500122,590.0999756,596,916630
24/02/2023,568.8980103,584.5999756,594.7999878,584,591,1119544
27/02/2023,552.5006714,567.75,585.4000244,566,584.5999756,1912489
28/02/2023,562.864624,578.4000244,582.75,567.5999756,568,2207400
01/03/2023,585.54,601.7000122,604.5499878,580.25,581.2999878,1822832
02/03/2023,584.954895,601.0999756,607.2999878,597,601.9000244,1383893
03/03/2023,598.9194946,615.4500122,619,607.7000122,609,2101679
06/03/2023,595.2216187,611.6500244,625,609.9000244,620,1404596
08/03/2023,586.755249,602.9500122,610.4000244,602,610.4000244,900075
09/03/2023,582.4734497,598.5499878,606.3499756,592.5,605,1465695
10/03/2023,579.51,595.5,596.9500122,590.0499878,595,649101
13/03/2023,566.465271,582.0999756,598.5,580,595.5,1137818
14/03/2023,562.96,578.5,587.4500122,575,585.0499878,879186
15/03/2023,561.9401245,577.4500122,586.75,576,581,817032
16/03/2023,557.0745239,572.4500122,578.9000244,570.75,577,972000
17/03/2023,564.3244019,579.9000244,582.0999756,575,575.3499756,696661
20/03/2023,559.4586182,574.9000244,579.0499878,570.2000122,579,725166
21/03/2023,557.171814,572.5499878,578.75,571.5499878,577.7999878,779267
22/03/2023,557.366394,572.75,577.75,572,573,931326
23/03/2023,553.52,568.7999878,575,568,573.0999756,748086
24/03/2023,544.9588623,560,573,559,570,1305399
27/03/2023,529.4859009,544.0999756,562.6500244,539.0999756,560.0999756,1741356
28/03/2023,522.382019,536.7999878,549.3499756,535,546,1821333
29/03/2023,517.56,531.8499756,542.7000122,530.0499878,537.5,2245923
31/03/2023,519.9977417,534.3499756,546.9500122,531.0999756,534.5499878,2030925
03/04/2023,529.9237671,544.5499878,548.5499878,537.5999756,540,1228058
05/04/2023,535.178833,549.9500122,555.5,546.6500244,549.4000244,1156963
06/04/2023,535.7626343,550.5499878,556.4000244,548.1500244,551,1088256
10/04/2023,534.5462646,549.2999878,556,548.5,554.4500122,818437
11/04/2023,535.7140503,550.5,555.25,549.2999878,550.0999756,659636
12/04/2023,534.5462646,549.2999878,553.9000244,549,552.7000122,682171
13/04/2023,536.1519775,550.9500122,553.4500122,548.2000122,549.9000244,562523
17/04/2023,529.9724731,544.5999756,551.3499756,544,550.9500122,947673
18/04/2023,533.7190552,548.4500122,552.2999878,546.0999756,546.0999756,612736
19/04/2023,531.8214722,546.5,550,545,549,482728
20/04/2023,537.08,551.9000244,556.2000122,546.4500122,547.75,731513
21/04/2023,533.2811279,548,550.5999756,545.0999756,550.5999756,655602
24/04/2023,534.6436157,549.4000244,553.7999878,547.5,548.9000244,446849
25/04/2023,533.5730591,548.2999878,556,547.2000122,551,987652
26/04/2023,533.04,547.75,550.3499756,547.0499878,548.2999878,498401
27/04/2023,531.0429077,545.7000122,553.0499878,543,548,1151408
28/04/2023,535.130188,549.9000244,552.7999878,546.5499878,548.5,1231240
02/05/2023,535.276062,550.0499878,554.5999756,549.2000122,552,1224198
03/05/2023,536.5410767,551.3499756,552.9000244,550,550.9500122,856689
04/05/2023,537.61,552.4500122,566.5999756,549.0999756,552,4283342
05/05/2023,545.0075073,560.0499878,565.3499756,551.6500244,552.5,2503952
08/05/2023,547.5863037,562.7000122,567,562,563,1104965
09/05/2023,542.3799438,557.3499756,566.4500122,555.9500122,564.4500122,1015395
10/05/2023,542.8179321,557.7999878,560.2999878,555.0999756,558.75,589178
11/05/2023,545.9319458,561,563.7000122,559,559.9500122,680822
12/05/2023,547.0023804,562.0999756,564.4500122,557.5,561,892781
15/05/2023,552.4033813,567.6500244,573,561.2000122,564,2164688
16/05/2023,552.2574463,567.5,574.5499878,566.4000244,569,902155
17/05/2023,554.6902466,570,570.9500122,565.9000244,568,862004
18/05/2023,552.89,568.1500244,576.8499756,567,572,964354
19/05/2023,549.8245239,565,570.0499878,562.0999756,570,515091
22/05/2023,561.9888306,577.5,579.2999878,566.7000122,569,1506327
