Date,Close,High,Low,Open,Volume
16/05/2019,96.75206757,97.21370648,94.82856722,96.05960627,6519422
17/05/2019,96.55970764,97.40604653,95.40560755,95.9826576,10003051
20/05/2019,99.44493866,100.0989333,96.63662781,98.6370664,12330905
21/05/2019,98.94485474,99.82966013,98.29085997,99.79118778,8095621
22/05/2019,99.71425629,100.3682393,98.02157257,98.9448562,9540723
23/05/2019,99.90659332,102.6764262,99.52189333,100.4836433,11017547
24/05/2019,99.36800385,100.7913985,98.9063709,100.4066985,9371443
27/05/2019,102.4840775,105.1000445,100.1374051,101.8685551,19948676
28/05/2019,102.0224609,103.6766665,101.3299938,103.0611441,15628186
29/05/2019,100.7144547,102.5225493,100.175877,101.5607993,5397986
30/05/2019,103.945961,104.3306611,100.8298882,100.8298882,30257040
31/05/2019,102.5225677,104.6768905,101.79164,104.061368,11325445
03/06/2019,102.4071655,103.7151434,102.0993984,103.4073763,7302092
04/06/2019,103.907486,104.9077084,102.4456187,102.4456187,10439893
06/06/2019,105.0615921,105.4078198,102.1763416,103.9844249,12191883
07/06/2019,103.9843979,105.7924925,103.4842926,105.4077925,9310029
10/06/2019,103.8690033,105.484748,103.368898,104.022881,7295669
11/06/2019,104.0998383,105.1385214,102.9072657,104.1767712,4554162
12/06/2019,103.4073563,104.4075786,102.5610233,103.869001,3660802
13/06/2019,103.7920685,104.523008,102.5610354,103.4843131,5113806
14/06/2019,102.1378632,104.2537134,101.8685684,103.830541,4761596
17/06/2019,101.7531509,102.9841956,101.0991562,102.6764286,3655275
18/06/2019,101.8685684,102.5995079,101.4838684,102.0224578,5172138
19/06/2019,103.5996933,104.0613379,101.9454882,101.9454882,5278372
20/06/2019,103.5227814,104.0613591,102.7918537,103.5612537,6963441
21/06/2019,103.5227814,104.0228867,103.1380813,103.7536037,9456244
24/06/2019,104.3306503,104.6384057,102.9072556,103.6381832,5918107
25/06/2019,106.5234375,107.4851876,103.9844149,104.5999373,18761799
26/06/2019,107.7544937,109.177877,107.1774436,107.3313213,24643824
27/06/2019,107.8314056,109.2548003,106.9850727,108.5238727,38789825
28/06/2019,108.754715,109.139415,107.33132,107.7929648,10648757
01/07/2019,109.6779785,112.217001,106.6773113,109.4086838,31289422
02/07/2019,109.985733,111.1013607,109.6779777,110.0242054,8847109
03/07/2019,110.216568,111.1013734,109.7549232,110.6782128,6947927
04/07/2019,110.3704376,111.1398377,109.5241046,111.1398377,5792826
05/07/2019,105.0230942,110.6397162,104.1767495,109.8703163,21459265
08/07/2019,99.71425629,105.1000569,98.90638384,105.1000569,20404790
09/07/2019,99.67578125,101.5608091,98.17544759,98.82943648,19374808
10/07/2019,99.29109192,100.7914199,98.98332481,99.25261956,9141198
11/07/2019,99.21412659,100.7144542,98.94484363,100.2143489,6669919
12/07/2019,98.32933044,101.907036,97.29063566,99.90660292,21467991
15/07/2019,98.44475555,99.21415577,97.94465011,98.48322791,5852788
16/07/2019,100.7529449,101.0991727,98.4832169,99.09873936,11313969
17/07/2019,99.32955933,101.6762203,99.02179224,101.2530596,10958942
18/07/2019,97.75228119,100.7529368,97.25216997,100.0989537,18049102
19/07/2019,99.94506836,100.7914132,96.98288502,98.44474051,33840376
22/07/2019,100.6760025,102.0609132,98.21391879,100.4067078,15870663
23/07/2019,102.3686829,102.6764382,100.4067103,101.137638,9840729
24/07/2019,101.4453888,102.7533664,100.5605718,102.7533664,10421947
25/07/2019,99.82965088,102.2147956,98.79095617,101.5608009,29337351
26/07/2019,99.09872437,100.3297573,98.67555201,100.3297573,11411885
29/07/2019,97.94464111,99.09874133,97.52146868,98.48321887,22168687
